variant,n,lucchi_iouf_mean,lucchi_iouf_std,vnc_iouf_mean,vnc_iouf_std,macro_iouf_mean,macro_iouf_std
balanced,5,0.6894586841877088,0.007100783755766235,0.7622057136081062,0.008897511317971505,0.7258321988979075,0.007645268432045427
unbalanced,5,0.7285810162692586,0.018325714581721293,0.7614832359300012,0.006438699463097475,0.7450321260996299,0.009972981290043311
